Week Ending Date,Geographic aggregation,Hospital Reporting Days,Percent Hospital Reporting Days,Number Hospitals Reporting Adult COVID-19 Admissions,Number Hospitals Reporting Pediatric COVID-19 Admissions,Number Hospitals Reporting Influenza Admissions,Number Hospitals Reporting Prevalent Influenza Hospitalizations,Number Hospitals Reporting Hospitalized Influenza ICU Patients,Number Hospitals Reporting Inpatient Beds,Number Hospitals Reporting ICU Beds,Number Hospitals Reporting Inpatient Beds Occupied,Number Hospitals Reporting ICU Beds Occupied,Number Hospitals Reporting Percent Inpatient Bed Occupancy,Number Hospitals Reporting Percent ICU Bed Occupancy,Number Hospitals Reporting Percent COVID-19 Inpatient Bed Occupancy,Number Hospitals Reporting Percent Influenza Inpatient Bed Occupancy,Number Hospitals Reporting Percent COVID-19 ICU Bed Occupancy,Number Hospitals Reporting Percent Influenza ICU Bed Occupancy,Number Hospitals Reporting Total COVID-19 Admissions,Number Hospitals Reporting Prevalent COVID-19 Hospitalizations,Number Hospitals Reporting Hospitalized COVID-19 ICU Patients,Weekly Average Adult COVID-19 Admissions,Weekly Total Adult COVID-19 Admissions,Weekly Average Pediatric COVID-19 Admissions,Weekly Total Pediatric COVID-19 Admissions,Weekly Average COVID-19 Admissions,Weekly Total COVID-19 Admissions,Weekly Average Influenza Admissions,Weekly Total Influenza Admissions,Weekly Average Prevalent COVID-19 Hospitalizations,Weekly Average Prevalent Influenza Hospitalizations,Weekly Average Hospitalized COVID-19 ICU Patients,Weekly Average Hospitalized Influenza ICU Patients,Weekly Average Inpatient Beds,Weekly Average ICU Beds,Weekly Average Inpatient Beds Occupied,Weekly Average ICU Beds Occupied,Weekly Average Percent Inpatient Bed Occupancy,Weekly Average Percent ICU Bed Occupancy,Weekly Average Percent COVID-19 Inpatient Bed Occupancy,Weekly Average Percent Influenza Inpatient Bed Occupancy,Weekly Average Percent COVID-19 ICU Bed Occupancy,Weekly Average Percent Influenza ICU Bed Occupancy,Percent Adult COVID-19 Admissions,Percent Pediatric COVID-19 Admissions,Percent Hospitals Reporting Adult COVID-19 Admissions,Percent Hospitals Reporting Pediatric COVID-19 Admissions,Percent Hospitals Reporting Influenza Admissions,Percent Hospitals Reporting Prevalent Influenza Hospitalizations,Percent Hospitals Reporting Hospitalized Influenza ICU Patients,Percent Hospitals Reporting Inpatient Beds,Percent Hospitals Reporting ICU Beds,Percent Hospitals Reporting Inpatient Beds Occupied,Percent Hospitals Reporting ICU Beds Occupied,Percent Hospitals Reporting Percent Inpatient Bed Occupancy,Percent Hospitals Reporting Percent ICU Bed Occupancy,Percent Hospitals Reporting Percent COVID-19 Inpatient Bed Occupancy,Percent Hospitals Reporting Percent Influenza Inpatient Bed Occupancy,Percent Hospitals Reporting Percent COVID-19 ICU Bed Occupancy,Percent Hospitals Reporting Percent Influenza ICU Bed Occupancy,Percent Hospitals Reporting Total COVID-19 Admissions,Percent Hospitals Reporting Prevalent COVID-19 Hospitalizations,Percent Hospitals Reporting Hospitalized COVID-19 ICU Patients
2020-08-08,AR,458,0.78,66,59,0,0,0,69,72,69,51,69,51,66,0,69,0,66,71,62,64,447,0,0,64,447,,,410,,148,,6539,1246,4246,748,0.65,0.67,0.06,,0.12,,1.00,0.00,0.79,0.70,0.00,0.00,0.00,0.82,0.86,0.82,0.61,0.82,0.61,0.79,0.00,0.82,0.00,0.79,0.85,0.74
2020-08-15,AR,460,0.78,72,56,0,0,0,73,72,73,50,73,50,69,0,68,0,72,70,62,58,403,1,6,58,409,,,415,,141,,6520,1193,4286,664,0.66,0.63,0.06,,0.12,,0.99,0.01,0.86,0.67,0.00,0.00,0.00,0.87,0.86,0.87,0.60,0.87,0.60,0.82,0.00,0.81,0.00,0.86,0.83,0.74
2020-08-22,AR,461,0.78,75,61,0,0,0,73,73,73,51,73,51,70,0,70,0,75,72,63,60,417,0,1,60,418,,,424,,138,,6935,1290,4558,672,0.66,0.67,0.06,,0.11,,1.00,0.00,0.89,0.73,0.00,0.00,0.00,0.87,0.87,0.87,0.61,0.87,0.61,0.83,0.00,0.83,0.00,0.89,0.86,0.75
2020-08-29,AR,466,0.79,76,66,0,0,0,74,73,74,52,74,52,73,0,72,0,76,75,64,46,322,1,10,47,332,,,374,,136,,6913,1221,4556,660,0.66,0.67,0.05,,0.11,,0.97,0.03,0.90,0.79,0.00,0.00,0.00,0.88,0.87,0.88,0.62,0.88,0.62,0.87,0.00,0.86,0.00,0.90,0.89,0.76
2020-09-05,AR,500,0.85,80,70,0,0,0,78,76,78,55,78,55,75,0,73,0,80,77,67,44,306,1,5,44,311,,,367,,121,,7253,1331,4762,630,0.66,0.64,0.05,,0.09,,0.98,0.02,0.95,0.83,0.00,0.00,0.00,0.93,0.90,0.93,0.65,0.93,0.65,0.89,0.00,0.87,0.00,0.95,0.92,0.80
2020-09-12,AR,503,0.86,81,72,0,0,0,79,79,79,56,79,56,76,0,76,0,81,78,68,45,317,1,4,46,321,,,350,,110,,7162,1341,4613,656,0.64,0.63,0.05,,0.08,,0.99,0.01,0.96,0.86,0.00,0.00,0.00,0.94,0.94,0.94,0.67,0.94,0.67,0.90,0.00,0.90,0.00,0.96,0.93,0.81
2020-09-19,AR,521,0.89,80,73,0,0,0,77,77,77,55,77,55,75,0,75,0,80,78,67,50,348,1,9,51,357,,,351,,119,,7348,1364,4899,711,0.67,0.67,0.05,,0.09,,0.97,0.03,0.95,0.87,0.00,0.00,0.00,0.92,0.92,0.92,0.65,0.92,0.65,0.89,0.00,0.89,0.00,0.95,0.93,0.80
2020-09-26,AR,518,0.88,80,73,0,0,0,78,77,78,58,78,58,76,0,75,0,80,78,69,62,437,1,9,64,446,,,398,,134,,7480,1358,5009,760,0.67,0.65,0.05,,0.10,,0.98,0.02,0.95,0.87,0.00,0.00,0.00,0.93,0.92,0.93,0.69,0.93,0.69,0.90,0.00,0.89,0.00,0.95,0.93,0.82
2020-10-03,AR,524,0.89,80,78,0,0,0,78,78,78,61,78,61,76,0,77,0,80,79,71,59,411,1,6,60,417,,,423,,165,,7475,1327,5033,773,0.67,0.66,0.06,,0.12,,0.99,0.01,0.95,0.93,0.00,0.00,0.00,0.93,0.93,0.93,0.73,0.93,0.73,0.90,0.00,0.92,0.00,0.95,0.94,0.85
2020-10-10,AR,539,0.92,80,78,0,0,0,77,77,77,63,77,63,77,0,77,0,80,80,72,76,531,0,1,76,532,,,489,,173,,7567,1362,5117,773,0.68,0.70,0.06,,0.13,,1.00,0.00,0.95,0.93,0.00,0.00,0.00,0.92,0.92,0.92,0.75,0.92,0.75,0.92,0.00,0.92,0.00,0.95,0.95,0.86
